rests,chords,consider_measure_idx,consider_note_duration,offset_notes,repetition,0
False,False,No,No,True,False,450
False,False,No,No,True,True,450
False,True,No,No,True,True,449
False,True,No,No,True,False,449
True,False,No,No,True,True,445
True,False,No,No,True,False,445
True,True,No,No,True,True,444
True,True,No,No,True,False,444
True,False,No,No,False,True,406
True,False,No,No,False,False,406
False,False,No,No,False,False,406
True,True,No,No,False,False,406
False,True,No,No,False,False,406
False,True,No,No,False,True,406
False,False,No,No,False,True,406
True,True,No,No,False,True,406
True,False,No,Yes,True,True,202
True,False,No,Yes,True,False,202
False,True,No,Yes,True,False,202
True,True,No,Yes,True,False,202
