,method_id,remove_rests,remove_chords,consider_note_duration,consider_offset_notes,consider_repetition,count_seq_exist,exist_%,count_seq_none,none_%
0,TTFTT,TRUE,TRUE,FALSE,TRUE,TRUE,1697973,55.20%,1380297,44.80%
1,TFFTT,TRUE,FALSE,FALSE,TRUE,TRUE,1697381,55.10%,1380889,44.90%
2,TTFTF,TRUE,TRUE,FALSE,TRUE,FALSE,1693861,55.00%,1384409,45.00%
3,TFFTF,TRUE,FALSE,FALSE,TRUE,FALSE,1693399,55.00%,1384871,45.00%
4,FTFTF,FALSE,TRUE,FALSE,TRUE,FALSE,1682920,54.70%,1395350,45.30%
5,FFFTF,FALSE,FALSE,FALSE,TRUE,FALSE,1682484,54.70%,1395786,45.30%
6,FTFTT,FALSE,TRUE,FALSE,TRUE,TRUE,1682227,54.60%,1396043,45.40%
7,FFFTT,FALSE,FALSE,FALSE,TRUE,TRUE,1681709,54.60%,1396561,45.40%
8,TTFFT,TRUE,TRUE,FALSE,FALSE,TRUE,953728,31.00%,2124542,69.00%
9,TFFFT,TRUE,FALSE,FALSE,FALSE,TRUE,953680,31.00%,2124590,69.00%
10,FTFFT,FALSE,TRUE,FALSE,FALSE,TRUE,914887,29.70%,2163383,70.30%
11,FFFFT,FALSE,FALSE,FALSE,FALSE,TRUE,914869,29.70%,2163401,70.30%
12,TTFFF,TRUE,TRUE,FALSE,FALSE,FALSE,712103,23.10%,2366167,76.90%
13,TFFFF,TRUE,FALSE,FALSE,FALSE,FALSE,712082,23.10%,2366188,76.90%
14,FTFFF,FALSE,TRUE,FALSE,FALSE,FALSE,685623,22.30%,2392647,77.70%
15,FFFFF,FALSE,FALSE,FALSE,FALSE,FALSE,685611,22.30%,2392659,77.70%
16,TTTTT,TRUE,TRUE,TRUE,TRUE,TRUE,531975,17.30%,2546295,82.70%
17,TFTTT,TRUE,FALSE,TRUE,TRUE,TRUE,531954,17.30%,2546316,82.70%
18,FTTTT,FALSE,TRUE,TRUE,TRUE,TRUE,530477,17.20%,2547793,82.80%
19,FFTTT,FALSE,FALSE,TRUE,TRUE,TRUE,530461,17.20%,2547809,82.80%
20,FTTTF,FALSE,TRUE,TRUE,TRUE,FALSE,446184,14.50%,2632086,85.50%
21,FFTTF,FALSE,FALSE,TRUE,TRUE,FALSE,446170,14.50%,2632100,85.50%
22,TTTTF,TRUE,TRUE,TRUE,TRUE,FALSE,445726,14.50%,2632544,85.50%
23,TFTTF,TRUE,FALSE,TRUE,TRUE,FALSE,445711,14.50%,2632559,85.50%
24,TFTFT,TRUE,FALSE,TRUE,FALSE,TRUE,263743,8.60%,2814527,91.40%
25,TTTFT,TRUE,TRUE,TRUE,FALSE,TRUE,263743,8.60%,2814527,91.40%
26,FTTFT,FALSE,TRUE,TRUE,FALSE,TRUE,262678,8.50%,2815592,91.50%
27,FFTFT,FALSE,FALSE,TRUE,FALSE,TRUE,262666,8.50%,2815604,91.50%
28,FTTFF,FALSE,TRUE,TRUE,FALSE,FALSE,190228,6.20%,2888042,93.80%
29,FFTFF,FALSE,FALSE,TRUE,FALSE,FALSE,190221,6.20%,2888049,93.80%
30,TFTFF,TRUE,FALSE,TRUE,FALSE,FALSE,189633,6.20%,2888637,93.80%
31,TTTFF,TRUE,TRUE,TRUE,FALSE,FALSE,189633,6.20%,2888637,93.80%
